x1,x10,x11,x2,x3,x4,x5,x6,x7,x8,x9
,,,,,,,,,,
,,,,,,,,,,
강릉,44,서남서,,20 이상,,,27.6,14.2,27.1,
강진군,,남서,,16.8,,,28.2,,NaN,
강화,64,서,,9.5,,,24.7,17.4,26.0,
거제,79,북동,,8.2,,,25.4,21.4,27.8,
거창,59,남서,,18.1,,,27.1,18.3,28.0,0.0
경주시,54,남서,,15.9,,,29.1,18.8,29.5,
고산,91,남남동,,9.8,,,26.8,25.1,30.1,
고창,71,서,,20 이상,,,27.4,21.6,29.2,
고창군,65,남남서,,20 이상,,,27.6,20.4,29.0,2.3
고흥,71,남남동,,8.3,,,27.1,21.3,28.9,
광양시,62,남서,구름많음,13.3,7,3,27.8,19.8,28.9,
광주,76,남서,구름많음,11.6,7,7,27.0,22.3,29.2,
구미,52,서북서,,,,,28.4,17.5,28.6,
군산,61,서,,19.8,,,26.4,18.2,27.4,
금산,61,서남서,,15.6,,,26.6,18.4,27.6,0.0
김해시,70,서,,17.9,,,27.3,21.3,29.1,
남원,75,서남서,,11.4,,,24.9,20.1,27.0,0.8
남해,76,남,,9.6,,,26.6,22.0,28.8,
대관령,65,서남서,,20 이상,,,20.7,13.8,22.1,
대구,44,서남서,구름조금,19.6,4,4,29.8,16.2,29.3,
대전,59,남서,맑음,20 이상,2,2,27.8,19.0,28.7,0.2
동두천,74,서북서,,20 이상,,,25.0,20.0,27.0,0.0
동해,45,서,,20 이상,,,26.8,13.8,26.5,
목포,75,서남서,연무,7.7,8,8,26.7,21.8,28.8,
문경,53,서,,20 이상,,,27.1,16.6,27.5,
밀양,63,남,,10.8,,,27.4,19.7,28.6,0.0
백령도,75,서,구름조금,20 이상,4,4,23.6,18.9,25.7,0.0
보령,72,남남서,,12.3,,,25.1,19.6,27.0,
보성군,70,남서,,19.6,,,28.1,22.1,29.9,
보은,53,남남서,,20 이상,,,26.2,15.8,26.6,0.2
봉화,59,북서,,20 이상,,,23.9,15.3,24.8,
부산,76,남남서,맑음,14.0,2,1,25.9,21.3,28.1,
부안,71,서,,20 이상,,,26.4,20.7,28.2,
부여,59,서,,19.3,,,27.0,18.2,27.9,
북강릉,44,서남서,구름조금,20 이상,5,5,27.0,13.6,26.6,0.0
북창원,71,남,,18.9,,,27.9,22.1,29.7,
북춘천,53,서남서,구름조금,20 이상,5,5,26.5,16.1,26.9,2.8
산청,63,동남동,,20 이상,,,28.0,20.2,29.2,
상주,54,서,,14.6,,,27.7,17.5,28.1,
서귀포,91,남서,구름많음,10.6,8,5,26.2,24.6,29.5,
서산,66,서남서,,20 이상,,,26.3,19.4,27.7,
서울,56,서남서,맑음,17.7,1,1,26.4,16.9,27.0,0.0
성산,81,남서,,10.0,,,26.5,22.9,29.1,
세종,53,남서,,18.6,,,26.7,16.3,27.1,
속초,46,서,,20 이상,,,25.8,13.2,25.6,0.0
수원,60,서,맑음,19.8,1,1,26.4,18.0,27.4,
순창군,82,남남동,,20 이상,,,24.5,21.2,27.1,0.1
순천,72,남남서,,8.4,,,27.3,21.8,29.2,0.0
안동,49,서,맑음,19.0,2,2,27.8,16.1,27.8,
양산시,71,남서,,19.5,,,27.9,22.1,29.7,
